,chembl_id,IC50,unit,Smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
416,CHEMBL3685225,13,nM,COc1ccc(C(=O)Nc2cccc(CNc3c(C(N)=O)cnc4c(C(N)=O)cccc34)c2)cc1,7.886056648,469.1750042,6,4,3.3056,TRUE
417,CHEMBL3685253,13,nM,COc1ccc(C(=O)Nc2cccc(CN(C)c3ncnc4c(C(N)=O)cccc34)c2)cc1,7.886056648,441.1800896,6,2,3.626,TRUE
418,CHEMBL2163407,13,nM,Cc1cc(Nc2nc(Sc3ccc(NC(=O)CN4CC[C@@H](OCCO)C4)cc3)nn3cccc23)n[nH]1,7.886056648,508.2005078,10,4,2.67732,TRUE
419,CHEMBL2380846,13,nM,O=C(Nc1ccc(Nc2ccnc3[nH]c(=O)c4ccccc4c23)cn1)c1ccccc1,7.886056648,407.1382248,5,3,4.4672,TRUE
420,CHEMBL505037,13,nM,O=C(Nc1ccc(Cl)c(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1,7.886056648,464.0047564,7,3,5.7532,TRUE
421,CHEMBL3680410,13,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4cccc(OCCCO)c4)c3)ncnc12,7.886056648,471.1906543,7,4,3.3543,TRUE
423,CHEMBL4474459,13,nM,NS(=O)(=O)c1ccc(Nc2ncn(C(=O)c3c(F)cccc3F)n2)cc1,7.886056648,379.0550667,7,2,1.6358,TRUE
424,CHEMBL4440053,13,nM,COc1ccc2c(c1)[C@]1(C[C@H]1c1ccc3c(-c4ccc(N5C[C@@H](C)N[C@@H](C)C5)cc4)n[nH]c3c1)C(=O)N2,7.886056648,493.2477752,5,3,4.8025,TRUE
425,CHEMBL3959866,13.87,nM,CC1(C)CN(c2ccc(-c3oc(-c4ccc(Cl)c5[nH]ccc45)nc3C(N)=O)cc2)CCN1,7.857923539,449.1618527,5,3,4.4304,TRUE
426,CHEMBL3600873,14,nM,O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1,7.853871964,461.0976184,6,2,5.7093,TRUE
427,CHEMBL482778,14,nM,CCC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(N3CCOCC3)n2)cc1,7.853871964,439.179044,8,3,3.58802,TRUE
428,CHEMBL3685263,14,nM,CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(O)c(F)c2)c1,7.853871964,445.1550177,6,4,3.9988,TRUE
429,CHEMBL5278077,14,nM,NC(=O)c1ccc(Nc2ncc(F)c(Nc3ccccc3)n2)cc1,7.853871964,323.1182383,5,3,3.2018,TRUE
430,CHEMBL3353362,14,nM,O=C1Nc2ccccc2[C@]12C[C@H]2c1ccc2c(/C=C/c3ccc(CN4CCCCC4)cc3)n[nH]c2c1,7.853871964,474.2419616,3,2,6.0966,TRUE
431,CHEMBL3928949,14,nM,CC1(C)CN(c2ccc(-c3oc(-c4ccc(C(F)(F)F)c5[nH]ccc45)nc3C(N)=O)cc2)CCN1,7.853871964,483.1882097,5,3,4.7958,TRUE
