miRNA,mRNA
ath-miR859,AT3G22700
ath-miR859,AT1G11810
ath-miR859,AT4G14030
ath-miR859,AT2G04920
ath-miR859,AT3G17280
ath-miR859,AT3G19880
ath-miR859,AT2G17477
ath-miR859,AT4G09452
ath-miR859,AT5G41494
ath-miR859,AT2G24510
ath-miR859,AT3G20710
ath-miR859,AT3G22720
ath-miR859,AT3G20705
ath-miR859,AT3G17540
ath-miR859,AT1G67450
ath-miR859,AT4G09143
ath-miR859,AT4G33290
ath-miR859,AT1G25150
ath-miR859,AT1G25055
ath-miR859,AT1G24800
ath-miR859,AT1G24881
ath-miR859,AT1G25211
ath-miR859,AT1G65990
ath-miR859,AT1G32140
ath-miR859,AT3G13624
ath-miR859,AT5G42460
ath-miR859,AT2G15690
ath-miR859,AT3G13624
ath-miR859,AT3G49510
ath-miR859,AT4G17200
ath-miR859,AT5G41490
ath-miR859,AT3G26580
ath-miR859,AT4G33620
ath-miR859,AT3G01750
ath-miR172e-3p,AT5G60120
ath-miR172e-3p,AT5G60120
ath-miR172e-3p,AT3G54990
ath-miR172e-3p,AT2G39250
ath-miR172e-3p,AT4G36920
ath-miR172e-3p,AT4G36920
ath-miR172e-3p,AT5G67180
ath-miR172e-3p,AT3G54350
ath-miR172e-3p,AT3G54350
ath-miR172e-3p,AT3G54350
ath-miR172e-3p,AT5G65790
ath-miR172e-3p,AT2G28550
ath-miR172e-3p,AT2G28550
ath-miR172e-3p,AT2G28550
ath-miR172e-3p,AT5G27840
ath-miR172e-3p,AT5G27840
ath-miR172e-3p,AT5G12900
ath-miR172e-3p,AT1G61290
ath-miR172e-3p,AT2G42380
ath-miR172e-3p,AT2G42380
ath-miR172e-3p,AT5G36870
ath-miR172e-3p,AT2G10440
ath-miR172e-3p,AT2G10440
ath-miR172e-3p,AT1G75990
ath-miR172e-3p,AT4G23320
ath-miR172e-3p,AT3G23110
ath-miR156h,AT1G27370
ath-miR156h,AT1G27360
ath-miR156h,AT5G43270
ath-miR156h,AT1G27370
ath-miR156h,AT1G27370
ath-miR156h,AT2G42200
ath-miR156h,AT1G27360
ath-miR156h,AT1G27360
ath-miR156h,AT5G50670
ath-miR156h,AT1G27370
ath-miR156h,AT5G43270
ath-miR156h,AT1G27360
ath-miR156h,AT5G50570
ath-miR156h,AT1G69170
ath-miR156h,AT3G57920
ath-miR156h,AT5G50570
ath-miR156h,AT5G43270
ath-miR156h,AT1G22000
ath-miR156h,AT1G26890
ath-miR156h,AT2G03750
ath-miR156h,AT3G28690
ath-miR156h,AT1G53160
ath-miR156h,AT1G67040
ath-miR156h,AT3G11960
ath-miR156h,AT5G38610
ath-miR156h,AT3G17365
ath-miR156h,AT3G17365
ath-miR156h,AT3G31510
ath-miR156h,AT3G01175
ath-miR156h,AT1G32370
ath-miR156h,AT2G23460
ath-miR156h,AT1G64430
ath-miR156h,AT1G64430
ath-miR156h,AT1G09170
ath-miR156h,AT1G11170
ath-miR156h,AT3G15270
ath-miR156h,AT2G47590
ath-miR156h,AT5G62570
ath-miR156h,AT5G62570
ath-miR156h,AT5G42460
ath-miR156h,AT3G28860
ath-miR156h,AT1G34630
ath-miR156h,AT2G04110
ath-miR156h,AT3G63088
ath-miR156h,AT1G17290
ath-miR156h,AT4G39890
ath-miR156h,AT4G02830
ath-miR156h,AT1G36280
ath-miR156h,AT4G35000
ath-miR156h,AT1G32700
ath-miR156h,AT3G01410
ath-miR156h,AT3G01410
ath-miR156h,AT1G10650
ath-miR156h,AT1G10650
ath-miR156h,AT1G15100
ath-miR156h,AT1G14670
ath-miR156h,AT1G13560
ath-miR156h,AT1G13560
ath-miR156h,AT4G35480
ath-miR156h,AT3G26240
ath-miR156h,AT2G22640
ath-miR156h,AT1G76680
ath-miR156h,AT1G76680
ath-miR156h,AT1G76690
ath-miR5995b,AT2G23570
ath-miR5995b,AT4G37150
ath-miR5995b,AT2G23560
ath-miR5995b,AT2G23610
ath-miR5995b,AT2G23550
ath-miR5995b,AT2G23550
ath-miR5995b,AT2G23580
ath-miR5995b,AT2G23580
ath-miR5995b,AT4G34490
ath-miR5995b,AT1G68640
ath-miR5995b,AT2G45190
ath-miR168a-3p,AT5G17780
ath-miR168a-3p,AT5G17780
ath-miR168a-3p,AT3G02760
ath-miR5020b,AT5G51450
ath-miR5020b,AT4G19191
ath-miR5020b,AT2G20180
ath-miR5020b,AT2G20180
ath-miR5020b,AT2G20180
ath-miR870-5p,AT3G26240
ath-miR870-5p,AT1G55140
ath-miR870-5p,AT1G55140
ath-miR870-5p,AT2G03050
ath-miR870-5p,AT4G21326
ath-miR870-5p,AT3G45400
ath-miR870-5p,AT1G26880
ath-miR5999,AT4G18030
ath-miR5999,AT2G39480
ath-miR5999,AT3G53270
ath-miR5999,AT1G54710
ath-miR5999,AT2G26890
ath-miR870-3p,AT1G32975
ath-miR870-3p,AT3G26200
ath-miR870-3p,AT5G46610
ath-miR870-3p,AT5G46610
ath-miR870-3p,AT5G46610
ath-miR870-3p,AT4G23580
ath-miR870-3p,AT5G42590
ath-miR847,AT1G30860
ath-miR847,AT2G25160
ath-miR847,AT4G37490
ath-miR847,AT1G03890
ath-miR847,AT1G53720
ath-miR847,AT5G15850
ath-miR847,AT4G21610
ath-miR847,AT1G74620
ath-miR847,AT1G63650
ath-miR847,AT1G63650
ath-miR847,AT1G63650
ath-miR847,AT4G21430
ath-miR847,AT1G53340
ath-miR847,AT2G15130
ath-miR847,AT2G15130
ath-miR847,AT1G16150
ath-miR847,AT1G49120
ath-miR847,AT5G51330
ath-miR847,AT1G30970
ath-miR847,AT1G30970
ath-miR847,AT5G22320
ath-miR847,AT5G22320
ath-miR847,AT4G26590
ath-miR847,AT5G64920
ath-miR847,AT1G68940
ath-miR847,AT1G68940
ath-miR847,AT1G68940
ath-miR169i,AT1G54160
ath-miR169i,AT1G17590
ath-miR169i,AT1G17590
ath-miR169i,AT1G72830
ath-miR169i,AT1G72830
ath-miR169i,AT1G72830
ath-miR169i,AT1G17590
ath-miR169i,AT1G17590
ath-miR169i,AT5G06510
ath-miR169i,AT5G06510
ath-miR169i,AT3G05690
ath-miR169i,AT5G06510
ath-miR169i,AT5G42120
ath-miR169i,AT5G12840
ath-miR169i,AT5G12840
ath-miR169i,AT5G12840
ath-miR169i,AT5G12840
ath-miR169g-5p,AT1G70700
ath-miR169g-5p,AT1G70700
ath-miR169g-5p,AT5G06510
ath-miR169g-5p,AT5G06510
ath-miR169g-5p,AT3G05690
ath-miR169g-5p,AT5G06510
ath-miR169g-5p,AT4G00893
ath-miR169g-5p,AT3G20910
ath-miR169g-5p,AT5G12840
ath-miR169g-5p,AT5G12840
ath-miR169g-5p,AT5G12840
ath-miR169g-5p,AT5G12840
ath-miR169g-5p,AT1G54160
ath-miR169g-5p,AT1G68560
ath-miR169g-5p,AT2G46020
ath-miR169g-5p,AT2G46020
ath-miR169g-5p,AT4G12382
ath-miR169g-5p,AT4G12382
ath-miR5645b,AT2G21090
ath-miR5645b,AT1G54590
ath-miR5645b,AT5G20940
ath-miR5645b,AT3G20860
ath-miR5645b,AT4G09570
ath-miR5645b,AT1G06750
ath-miR5645b,AT1G06750
ath-miR5645b,AT2G33990
ath-miR5645b,AT5G45105
ath-miR5645b,AT5G45105
ath-miR156d-5p,AT1G27370
ath-miR156d-5p,AT1G27360
ath-miR156d-5p,AT1G27370
ath-miR156d-5p,AT5G50570
ath-miR156d-5p,AT5G43270
ath-miR156d-5p,AT1G69170
ath-miR156d-5p,AT1G27360
ath-miR156d-5p,AT1G27360
ath-miR156d-5p,AT5G43270
ath-miR156d-5p,AT5G43270
ath-miR156d-5p,AT1G27360
ath-miR156d-5p,AT3G57920
ath-miR156d-5p,AT5G50570
ath-miR156d-5p,AT1G27370
ath-miR156d-5p,AT2G42200
ath-miR156d-5p,AT5G50670
ath-miR156d-5p,AT1G27370
ath-miR156d-5p,AT2G33810
ath-miR156d-5p,AT1G53160
ath-miR156d-5p,AT3G28690
ath-miR156d-5p,AT3G15270
ath-miR156d-5p,AT4G24270
ath-miR156d-5p,AT4G24270
ath-miR156d-5p,AT1G71690
ath-miR156d-5p,AT4G35170
ath-miR156d-5p,AT3G62420
ath-miR156d-5p,AT3G62422
ath-miR156d-5p,AT1G03980
ath-miR156d-5p,AT2G21840
ath-miR156d-5p,AT2G46850
ath-miR156d-5p,AT1G25500
ath-miR156d-5p,AT1G71400
ath-miR156d-5p,AT3G47170
ath-miR156d-5p,AT1G22000
ath-miR156d-5p,AT1G26890
ath-miR156d-5p,AT2G37860
ath-miR156d-5p,AT5G25560
ath-miR156d-5p,AT2G37860
ath-miR156d-5p,AT5G25560
ath-miR156d-5p,AT5G25560
ath-miR156d-5p,AT1G03730
ath-miR156d-5p,AT5G38610
ath-miR156d-5p,AT1G16916
ath-miR156d-5p,AT2G17640
ath-miR156d-5p,AT4G10595
ath-miR167a-3p,AT1G67120
