Symbol,Category,MyID
KRTAP10-8,mRNA,903
SLU7,mRNA,904
BAG2,mRNA,905
SDHAF2,mRNA,906
PRPF4B,mRNA,907
REL,mRNA,908
SSX7,mRNA,909
RIPPLY1,mRNA,910
CALML4,mRNA,911
CFL2,mRNA,912
ZNF135,mRNA,913
AC004997.1,mRNA,914
ABCA4,mRNA,915
CD1D,mRNA,916
KDM1B,mRNA,917
UTP23,mRNA,918
FGD4,mRNA,919
MANSC1,mRNA,920
PROM1,mRNA,921
AQP4,mRNA,922
DYM,mRNA,923
E2F4,mRNA,924
PIGQ,mRNA,925
GKAP1,mRNA,926
SEC14L6,mRNA,927
HSPA4L,mRNA,928
RC3H1,mRNA,929
RFC1,mRNA,930
C4A,mRNA,931
CSF3,mRNA,932
ADAMTSL3,mRNA,933
DDIAS,mRNA,934
GALM,mRNA,935
NAALAD2,mRNA,936
PHC1,mRNA,937
NKX2-4,mRNA,938
USPL1,mRNA,939
FSCN3,mRNA,940
TIAM2,mRNA,941
CT47A12,mRNA,942
MZF1,mRNA,943
IGF2BP2,mRNA,944
PNLIPRP1,mRNA,945
MAP7D2,mRNA,946
BLOC1S5-TXNDC5,mRNA,947
AC239799.1,mRNA,948
CCT6A,mRNA,949
AP3M1,mRNA,950
PPIC,mRNA,951
HEBP2,mRNA,952
LOC389895,mRNA,953
LOC100289561,mRNA,954
EIF3G,mRNA,955
ZIC1,mRNA,956
AC104452.1,mRNA,957
CRIM1,mRNA,958
PRO2949,mRNA,959
LOC101060445,mRNA,960
NUMB,mRNA,961
SYTL5,mRNA,962
LOC100996750,mRNA,963
LRP1B,mRNA,964
ANO3,mRNA,965
LGR5,mRNA,966
ABCB5,mRNA,967
TM4SF19,mRNA,968
MIEN1,mRNA,969
RNFT1,mRNA,970
LRRC3B,mRNA,971
CTBP2,mRNA,972
SLC4A3,mRNA,973
TMX4,mRNA,974
SMIM29,mRNA,975
AC018755.1,mRNA,976
UGT2A3,mRNA,977
TMEM222,mRNA,978
CLSPN,mRNA,979
DYDC2,mRNA,980
PAFAH1B2,mRNA,981
EFNB3,mRNA,982
HTR6,mRNA,983
KLK8,mRNA,984
SNRNP25,mRNA,985
CT47A11,mRNA,986
C /EBP,mRNA,987
TUB,mRNA,988
NPTX1,mRNA,989
ZNF99,mRNA,990
AL162231.1,mRNA,991
KDM4B,mRNA,992
EMILIN3,mRNA,993
FLNA,mRNA,994
NMT2,mRNA,995
NPY1R,mRNA,996
OR51I2,mRNA,997
C11orf96,mRNA,998
UGT2B10,mRNA,999
PRIMPOL,mRNA,1000
ANKRD6,mRNA,1001
SAA1,mRNA,1002
SHC4,mRNA,1003
APELA,mRNA,1004
LPA,mRNA,1005
SCN11A,mRNA,1006
DARS,mRNA,1007
AJAP1,mRNA,1008
ASGR1,mRNA,1009
ANGEL1,mRNA,1010
STXBP5L,mRNA,1011
RLIM,mRNA,1012
ENST00000320831,mRNA,1013
GOLPH3,mRNA,1014
PLP2,mRNA,1015
ZSWIM9,mRNA,1016
GOLGA8F,mRNA,1017
FZD6,mRNA,1018
SKIDA1,mRNA,1019
ZNF112,mRNA,1020
TCERG1L,mRNA,1021
DMP1,mRNA,1022
MYBPC3,mRNA,1023
MAGEH1,mRNA,1024
ENST00000292543,mRNA,1025
TUBA1A,mRNA,1026
TMEM258,mRNA,1027
OTP,mRNA,1028
DGKA,mRNA,1029
VCPKMT,mRNA,1030
PLEKHG3,mRNA,1031
TRBC2,mRNA,1032
LYZL1,mRNA,1033
ENST00000356730,mRNA,1034
RPS6KB1,mRNA,1035
ABHD10,mRNA,1036
SLC36A2,mRNA,1037
PACSIN1,mRNA,1038
LRRC24,mRNA,1039
SMIM11A,mRNA,1040
WDCP,mRNA,1041
SLC27A1,mRNA,1042
CD5L,mRNA,1043
ENST00000360102,mRNA,1044
GPAT3,mRNA,1045
