BioMarkers,Topotecan.estimate,Topotecan.se,Topotecan.n,Topotecan.tstat,Topotecan.fstat,Topotecan.pvalue,Topotecan.df,Topotecan.fdr
ENSG00000211640,-0.102436015,0.046113699,487,-2.22137929,4.934525952,0.026807132,464,0.139994189
ENSG00000069667,-0.108080593,0.043553015,487,-2.481586917,6.158273626,0.013432917,464,0.091481305
ENSG00000226806,0.08143775,0.042907643,487,1.897977705,3.60231937,0.058319365,464,0.222941989
ENSG00000162585,0.03365668,0.042401915,487,0.793753772,0.63004505,0.427744522,464,0.677301621
ENSG00000147180,0.034820343,0.045257734,487,0.769378837,0.591943795,0.44205992,464,0.688999354
ENSG00000108587,0.024544295,0.043190283,487,0.5682828,0.32294534,0.570117864,464,0.778298882
ENSG00000133800,-0.016352179,0.042469276,487,-0.385035507,0.148252342,0.70038754,464,0.855378154
ENSG00000091732,0.047271517,0.046007548,487,1.027473067,1.055700903,0.304733079,464,0.567116277
ENSG00000170743,-0.054231237,0.046228864,487,-1.173103406,1.376171601,0.241356197,464,0.50369114
ENSG00000167555,-0.135133381,0.044823738,487,-3.014772679,9.088854307,0.002712672,464,0.03365271
ENSG00000261043,-0.072342792,0.041580002,487,-1.73984581,3.027063441,0.082549153,464,0.27258645
ENSG00000128383,-0.041597218,0.041800756,487,-0.995130754,0.990285217,0.320191339,464,0.582705751
ENSG00000132432,-0.072311046,0.043919812,487,-1.646433424,2.710743021,0.100351651,464,0.304091441
ENSG00000114859,0.027224857,0.048907924,487,0.556655341,0.309865169,0.578031306,464,0.783570102
ENSG00000232093,0.040974137,0.045487579,487,0.900776379,0.811398085,0.368174516,464,0.627648324
ENSG00000198730,0.100697641,0.044538498,487,2.260912383,5.111724804,0.024227077,464,0.131309048
ENSG00000120211,-0.044192807,0.042403488,487,-1.042197449,1.086175523,0.297862849,464,0.561091787
ENSG00000172331,-0.042086666,0.04438534,487,-0.948210977,0.899104057,0.343515634,464,0.604156692
ENSG00000196431,0.014699461,0.041720278,487,0.352333733,0.12413906,0.724747967,464,0.868743088
ENSG00000080839,0.16381925,0.044226511,487,3.704096145,13.72032825,0.000237693,464,0.006948266
ENSG00000259889,-0.087376656,0.042079797,487,-2.076451451,4.311650628,0.038402106,464,0.17202769
ENSG00000132801,-0.081229239,0.0445015,487,-1.825314628,3.331773489,0.068596253,464,0.244147061
ENSG00000105855,-0.177322117,0.049364959,487,-3.592064507,12.90292743,0.000363102,464,0.009122642
ENSG00000135100,0.005041416,0.046394181,487,0.108664826,0.011808044,0.913515316,464,0.963103811
ENSG00000276449,0.061340754,0.045919566,487,1.335830431,1.784442941,0.182259527,464,0.429916925
ENSG00000196072,0.09707876,0.042495777,487,2.284433097,5.218634576,0.022796814,464,0.12630974
ENSG00000151952,0.081198643,0.042461864,487,1.912272224,3.656785058,0.056456748,464,0.219214645
ENSG00000272274,0.051924716,0.041537487,487,1.250068771,1.562671932,0.211904525,464,0.468410464
ENSG00000162897,-0.055008979,0.042865933,487,-1.283279646,1.646806651,0.200034678,464,0.454240689
ENSG00000204428,0.053256798,0.04370054,487,1.218675979,1.485171142,0.223586431,464,0.48319615
ENSG00000108813,-0.000801811,0.043225655,487,-0.018549413,0.000344081,0.985208532,464,0.99454606
ENSG00000265125,-0.025627889,0.043913759,487,-0.583595891,0.340584164,0.559775791,464,0.771434993
ENSG00000184903,-0.042504582,0.048982131,487,-0.867756902,0.753002041,0.385975987,464,0.642886639
ENSG00000196597,0.108951839,0.046916833,487,2.322233445,5.392768172,0.020652253,464,0.119077977
ENSG00000089639,0.025415372,0.052318288,487,0.485783711,0.235985814,0.627349839,464,0.813953442
ENSG00000171368,-0.000895098,0.042686443,487,-0.020969143,0.000439705,0.983279285,464,0.993602204
ENSG00000166432,0.033200414,0.043660057,487,0.76042991,0.578253647,0.447383878,464,0.692956305
ENSG00000204347,0.084990635,0.041097484,487,2.06802524,4.276728393,0.039191263,464,0.17410666
