"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significance","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","Significance","Label","Source"
"OSTM1","OSTM1",5.73806452059482e-07,-0.357243517028492,0.057,0.077,0.0104564749758799,"Downregulated","ENSG00000081087",1.64395265563058,5.24465128234382,462.330206709885,1.49554951842471e-102,2.94752714842504e-101,"Significant","Up in WA (Down in Control)","Common_DEGs"
"P2RX7","P2RX7",2.35641611759793e-14,-0.695037365175888,0.013,0.031,4.29409709109872e-10,"Downregulated","ENSG00000089041",-2.73124814215878,1.10130226024822,104.320630188325,1.72087851710028e-24,9.51645508033577e-24,"Significant","Down in WA (Up in Control)","Common_DEGs"
"P2RY11","P2RY11",9.28489049327865e-14,-1.11134466617076,0.013,0.03,1.69198559459017e-09,"Downregulated","ENSG00000244165",-1.23884683748214,2.33311712051905,59.818741443159,1.04008202858456e-14,4.35997013054225e-14,"Significant","Down in WA (Up in Control)","Common_DEGs"
"PAN2","PAN2",2.03309257886212e-12,-1.1093527169308,0.01,0.025,3.70490460646044e-08,"Downregulated","ENSG00000135473",-1.43807639214662,7.12518019764546,694.121383783961,5.67617187970574e-153,1.94796769266527e-151,"Significant","Down in WA (Up in Control)","Common_DEGs"
"PARP9","PARP9",4.5707803215987e-08,-0.414151542893523,0.027,0.044,0.000832933298004931,"Downregulated","ENSG00000138496",-1.53377402841492,5.0869311015597,404.423487662751,5.99804959460779e-90,1.00216043308811e-88,"Significant","Down in WA (Up in Control)","Common_DEGs"
"PCDH9","PCDH9",8.49319448768797e-08,-1.21185218110973,0.006,0.015,0.00154771483149138,"Downregulated","ENSG00000184226",1.39444741251213,2.38633335239152,69.3182908377331,8.37889329361626e-17,3.75652689926434e-16,"Significant","Up in WA (Down in Control)","Common_DEGs"
"PCMTD2","PCMTD2",1.1190909880394e-06,-0.578166873568745,0.014,0.025,0.020393195075042,"Downregulated","ENSG00000203880",-1.09269058227635,5.45949242572571,254.209201745904,3.13924863991289e-57,3.24552140817019e-56,"Significant","Down in WA (Up in Control)","Common_DEGs"
"PCYT1A","PCYT1A",2.83935429205977e-10,-0.467930796819771,0.025,0.044,5.17415532642053e-06,"Downregulated","ENSG00000161217",1.66707108623457,7.22049191137208,901.318675479895,5.07173745625355e-198,2.51190970864999e-196,"Significant","Up in WA (Down in Control)","Common_DEGs"
"PDLIM1","PDLIM1",1.80160032367862e-17,-1.21754768507585,0.014,0.035,3.28305626983955e-13,"Downregulated","ENSG00000107438",-1.1185069465945,3.65280320675846,108.442458389684,2.15002389565929e-25,1.21562414812212e-24,"Significant","Down in WA (Up in Control)","Common_DEGs"
"PGF","PGF",6.53660442094262e-14,-1.30652726516486,0.005,0.017,1.19116542362837e-09,"Downregulated","ENSG00000119630",4.70200783801487,3.55118783511371,814.812977784604,3.24705542477074e-179,1.37018553187179e-177,"Significant","Up in WA (Down in Control)","Common_DEGs"
