BioMarkers,Irinotecan.estimate,Irinotecan.se,Irinotecan.n,Irinotecan.tstat,Irinotecan.fstat,Irinotecan.pvalue,Irinotecan.df,Irinotecan.fdr
ENSG00000151491,-0.146858257,0.068547395,309,-2.142433797,4.590022575,0.033002759,286,0.187389917
ENSG00000067177,-0.064215009,0.054983493,309,-1.167896118,1.363981342,0.243821349,286,0.542475411
ENSG00000186765,-0.076053991,0.053922016,309,-1.410444138,1.989352668,0.159495265,286,0.437002664
ENSG00000135736,-0.042369241,0.053098722,309,-0.797933358,0.636697644,0.425571186,286,0.705842577
ENSG00000188938,-0.064220597,0.054276061,309,-1.183221404,1.400012891,0.237704011,286,0.535723758
ENSG00000131095,-0.046081087,0.051578581,309,-0.89341517,0.798190666,0.372386035,286,0.663155671
ENSG00000177885,0.196163611,0.056101391,309,3.496590834,12.22614746,0.000546122,286,0.016797798
ENSG00000198171,0.038348487,0.053842578,309,0.712233486,0.507276539,0.476900813,286,0.742340009
ENSG00000138829,-0.040595054,0.054951785,309,-0.738739502,0.545736051,0.460671002,286,0.730634272
ENSG00000258539,-0.005233922,0.054645252,309,-0.095779992,0.009173807,0.923762385,286,0.972678025
ENSG00000149289,-0.105881726,0.058689276,309,-1.804106868,3.254801591,0.072266587,286,0.284967731
ENSG00000173077,0.027702128,0.052306348,309,0.529613121,0.280490058,0.59679106,286,0.818839536
ENSG00000278690,-0.057112697,0.05309193,309,-1.075732172,1.157199706,0.282953683,286,0.583508192
ENSG00000139990,-0.086112731,0.055614779,309,-1.548378567,2.397476188,0.122636993,286,0.380431162
ENSG00000187775,0.065300434,0.052266798,309,1.249367406,1.560918915,0.212552237,286,0.506234601
ENSG00000280326,-0.032618392,0.052821072,309,-0.617526131,0.381338523,0.537379109,286,0.783092881
ENSG00000131174,0.064653563,0.051502921,309,1.2553378,1.575872991,0.210380858,286,0.503546055
ENSG00000146409,0.007952992,0.055574383,309,0.143105354,0.020479142,0.886307747,286,0.955829916
ENSG00000173559,-0.147130393,0.052572337,309,-2.798627592,7.832316397,0.005480872,286,0.065811641
ENSG00000055147,0.037094041,0.057109736,309,0.649522204,0.421879093,0.516522199,286,0.769420278
ENSG00000188312,-0.00820246,0.060360075,309,-0.135892137,0.018466673,0.89200215,286,0.958268108
ENSG00000211782,0.078948972,0.053717004,309,1.469720318,2.160077812,0.14273669,286,0.41345084
ENSG00000145354,0.05384171,0.054189528,309,0.993581438,0.987204075,0.321266556,286,0.616959962
ENSG00000237269,-0.028847316,0.053171055,309,-0.542537957,0.294347435,0.587870473,286,0.814114693
ENSG00000261447,-0.156977364,0.051188052,309,-3.066679799,9.40452499,0.002371616,286,0.040279249
ENSG00000267322,-0.044314898,0.057237179,309,-0.774232737,0.599436331,0.439432723,286,0.715535805
ENSG00000171848,0.2408031,0.050123453,309,4.804200112,23.08033872,2.51E-06,286,0.000584739
ENSG00000236172,-0.119100954,0.051890787,309,-2.295223502,5.268050922,0.022444212,286,0.151629789
ENSG00000185009,0.084345248,0.056676515,309,1.488186895,2.214700234,0.137803364,286,0.40537308
ENSG00000135631,-0.061580392,0.063493545,309,-0.969868539,0.940644983,0.332931511,286,0.629877228
ENSG00000196646,-0.073695955,0.056529209,309,-1.303679205,1.699579471,0.193391373,286,0.482670929
ENSG00000165406,-0.053019485,0.057418253,309,-0.923390772,0.852650518,0.356581964,286,0.65091317
ENSG00000066056,0.048835672,0.054326582,309,0.898927744,0.808071089,0.369447342,286,0.660460099
ENSG00000251210,0.033110462,0.052236337,309,0.633858793,0.401776969,0.526679588,286,0.775848465
ENSG00000261057,-0.026578866,0.052632977,309,-0.50498504,0.25500989,0.613958235,286,0.829156248
ENSG00000253656,-0.053637227,0.051065133,309,-1.050368886,1.103274796,0.294435266,286,0.59435647
ENSG00000128607,0.013634388,0.05461339,309,0.24965284,0.062326541,0.803035047,286,0.923635068
ENSG00000182718,-0.141045038,0.070437275,309,-2.002420418,4.00968753,0.046183395,286,0.224446653
ENSG00000160216,0.01733719,0.052900231,309,0.327733723,0.107409393,0.743352783,286,0.898466597
ENSG00000089639,0.059682357,0.064635371,309,0.923369918,0.852612005,0.35659281,286,0.65091317
ENSG00000231976,-0.020323436,0.061739984,309,-0.329177857,0.108358061,0.742262187,286,0.897636069
ENSG00000101187,0.079856222,0.055315081,309,1.443660946,2.084156927,0.149928843,286,0.423736788
ENSG00000160307,-0.107677691,0.142338417,309,-0.756490717,0.572278206,0.449977726,286,0.721749776
ENSG00000118113,-0.01418476,0.089276412,309,-0.15888586,0.025244717,0.873870938,286,0.951919371
ENSG00000007255,-0.203304907,0.06023297,309,-3.375309382,11.39271342,0.00083932,286,0.021546844
ENSG00000143222,-0.003939051,0.054569369,309,-0.072184285,0.005210571,0.942505705,286,0.979028595
ENSG00000128617,-0.003744058,0.053358961,309,-0.070167377,0.004923461,0.944109477,286,0.979693225
ENSG00000113391,-0.046865483,0.053497723,309,-0.87602762,0.767424391,0.381750183,286,0.672657355
ENSG00000162551,-0.019129974,0.055075721,309,-0.347339504,0.120644731,0.72859174,286,0.890570199
ENSG00000227563,-0.016810423,0.054266876,309,-0.309773189,0.095959429,0.756959026,286,0.904916271
ENSG00000248843,-0.013045081,0.053720279,309,-0.242833454,0.058968086,0.80830848,286,0.925849383
ENSG00000139985,-0.032903973,0.052360404,309,-0.62841328,0.394903251,0.530234755,286,0.778265185
ENSG00000159917,0.003493162,0.053636313,309,0.065126817,0.004241502,0.948118527,286,0.981325343
ENSG00000011201,-0.089413423,0.054606142,309,-1.637424285,2.68115829,0.102641609,286,0.344559191
ENSG00000166471,-0.049277403,0.056445309,309,-0.873011485,0.762149054,0.383389195,286,0.673951824
ENSG00000115317,0.09396399,0.055067308,309,1.706347984,2.911623444,0.089028831,286,0.319196654
ENSG00000196502,-0.080320543,0.05625957,309,-1.427677863,2.03826408,0.154475575,286,0.428928763
ENSG00000156504,0.044751031,0.054880174,309,0.81543165,0.664928776,0.415503828,286,0.698947239
ENSG00000228599,0.153628565,0.057585202,309,2.66784799,7.117412898,0.008069259,286,0.082438181
ENSG00000151116,-0.029575138,0.064619935,309,-0.457678233,0.209469365,0.64753113,286,0.848748137
