"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significance"
"NUDC",1.7679639767583e-10,0.474987889622125,0.2,0.252,3.22176075484666e-06,"NUDC","Upregulated"
"MRPS26",1.78353699848899e-10,-0.403900158296702,0.055,0.081,3.25013947234648e-06,"MRPS26","Downregulated"
"PTPN2",1.83608596792737e-10,-0.147143138387192,0.114,0.15,3.34589945935404e-06,"PTPN2","Not Significant"
"PPARA",1.84187578540056e-10,-1.43340133887937,0.011,0.024,3.35645024373543e-06,"PPARA","Downregulated"
"CYB561A3",1.90609006786109e-10,-0.577571573784238,0.046,0.07,3.47346793066326e-06,"CYB561A3","Downregulated"
"SLC25A11",1.90622168070034e-10,-0.473827262791537,0.055,0.081,3.47370776874023e-06,"SLC25A11","Downregulated"
"WDSUB1",1.90709242552883e-10,-0.54228887551441,0.016,0.032,3.47529452704119e-06,"WDSUB1","Downregulated"
"NOP10",1.99839063266038e-10,0.230186181900218,0.254,0.311,3.64166724989702e-06,"NOP10","Not Significant"
"TCTA",2.00310772481592e-10,-0.46629386754597,0.032,0.053,3.65026320693205e-06,"TCTA","Downregulated"
"GK5",2.02338626432963e-10,-0.832382173697877,0.016,0.031,3.68721678948789e-06,"GK5","Downregulated"
"SNX5",2.06023415273269e-10,-0.296769657043885,0.072,0.101,3.75436469652478e-06,"SNX5","Downregulated"
"CXorf40B",2.06688034261286e-10,-0.508450235968684,0.025,0.043,3.76647604834341e-06,"CXorf40B","Downregulated"
"NDUFAF7",2.07226689238237e-10,-0.611023667611753,0.023,0.04,3.77629195798839e-06,"NDUFAF7","Downregulated"
"MARVELD3",2.08818459460481e-10,-1.51864505887288,0.004,0.012,3.80529878674835e-06,"MARVELD3","Downregulated"
"GAL3ST4",2.13748143125625e-10,-1.12018381018308,0.009,0.021,3.89513241217827e-06,"GAL3ST4","Downregulated"
"LINC00685",2.17253814088063e-10,-0.626178652746705,0.039,0.062,3.95901625412677e-06,"LINC00685","Downregulated"
"NRDE2",2.19076093495861e-10,-0.745637874761804,0.024,0.042,3.99222365177508e-06,"NRDE2","Downregulated"
"CARD8-AS1",2.1989203943496e-10,-0.94591223334148,0.018,0.034,4.00709263462328e-06,"CARD8-AS1","Downregulated"
"SLK",2.20580193048965e-10,-0.70036482579925,0.021,0.039,4.01963285793129e-06,"SLK","Downregulated"
"CSK",2.22140776328557e-10,-0.539361645005762,0.066,0.093,4.0480713670353e-06,"CSK","Downregulated"
"SRFBP1",2.22959564878929e-10,-0.506474302261274,0.021,0.038,4.06299215078872e-06,"SRFBP1","Downregulated"
